MT,Reaction,Description
436,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
437,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
438,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
439,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
440,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
441,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
442,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
443,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
444,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
445,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
446,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
447,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
448,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
449,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
450,"(z,...)","Energy release parameters, , for total and partial cross sections; MT= 300 plus the reaction MT number, e.g., MT=302 is the elastic scattering kerma"
451,"(z,...)",Heading or title information; given in File 1 only.
452,"(z,...)","νT , average total (prompt plus delayed) number of neutrons released per fission event."
454,"(z,...)",Independent fission product yield data
455,"(z,...)","νd, average number of delayed neutrons released per fission event."
456,"(z,...)","νp, average number of prompt neutrons released per fission event."
457,"(z,...)",Radioactive decay data.
458,"(n,...)",Energy release in fission for incident neutrons.
459,"(z,...)",Cumulative fission product yield data.
600,"(z,p0)",Production of a proton leaving the residual nucleus in the ground state.
601,"(z,p1)","Production of a proton, with residual in the 1st excited state."
602,"(z,p2)","Production of a proton, with residual in the 2nd excited state."
603,"(z,p3)","Production of a proton, with residual in the 3rd excited state."
604,"(z,p4)","Production of a proton, with residual in the 4th excited state."
605,"(z,p5)",...
606,"(z,p6)",...
607,"(z,p7)",...
608,"(z,p8)",...
609,"(z,p9)",...
610,"(z,p10)",...
611,"(z,p11)",...
612,"(z,p12)",...
613,"(z,p13)",...
614,"(z,p14)",...
615,"(z,p15)",...
616,"(z,p16)",...
617,"(z,p17)",...
618,"(z,p18)",...
619,"(z,p19)",...
620,"(z,p20)",...
621,"(z,p21)",...
622,"(z,p22)",...
623,"(z,p23)",...
624,"(z,p24)",...
625,"(z,p25)",...
626,"(z,p26)",...
627,"(z,p27)",...
628,"(z,p28)",...
629,"(z,p29)",...
630,"(z,p30)",...
631,"(z,p31)",...
632,"(z,p32)",...
633,"(z,p33)",...
634,"(z,p34)",...
635,"(z,p35)",...
636,"(z,p36)",...
637,"(z,p37)",...
638,"(z,p38)",...
639,"(z,p39)",...
640,"(z,p40)",...
641,"(z,p41)",...
642,"(z,p42)",...
643,"(z,p43)",...
644,"(z,p44)",...
645,"(z,p45)",...
646,"(z,p46)",...
647,"(z,p47)",...
648,"(z,p48)",...
649,"(z,pc)",Production of a proton in the continuum not included in the above discrete representation
650,"(z,d0)",Production of a deuteron leaving the residual nucleus in the ground state
651,"(z,d1)","Production of a deuteron, with the residual in the 1st excited state."
652,"(z,d2)","Production of a deuteron, with the residual in the 2nd excited state."
653,"(z,d3)",...
654,"(z,d4)",...
655,"(z,d5)",...
656,"(z,d6)",...
657,"(z,d7)",...
658,"(z,d8)",...
659,"(z,d9)",...
660,"(z,d10)",...
661,"(z,d11)",...
662,"(z,d12)",...
663,"(z,d13)",...
664,"(z,d14)",...
665,"(z,d15)",...
666,"(z,d16)",...
667,"(z,d17)",...
668,"(z,d18)",...
669,"(z,d19)",...
670,"(z,d20)",...
671,"(z,d21)",...
672,"(z,d22)",...
673,"(z,d23)",...
674,"(z,d24)",...
675,"(z,d25)",...
676,"(z,d26)",...
677,"(z,d27)",...
678,"(z,d28)",...
679,"(z,d29)",...
